,strategy
2023-04-27,1505110.572274262
2023-04-28,1521900.1264673665
2023-05-04,1520897.9279012352
2023-05-05,1514320.7838552115
2023-05-08,1530055.8268909382
2023-05-09,1531972.9427115002
2023-05-10,1517195.3658956618
2023-05-11,1507176.4571241746
2023-05-12,1505581.1130903156
2023-05-15,1504451.9272554978
2023-05-16,1504451.9272554978
2023-05-17,1504451.9272554978
2023-05-18,1504451.9272554978
2023-05-19,1504451.9272554978
2023-05-22,1498949.9835051254
2023-05-23,1500865.3924601495
2023-05-24,1493380.221075805
2023-05-25,1488518.025741754
2023-05-26,1487473.3179497132
2023-05-29,1513647.364552421
2023-05-30,1513640.4885319076
2023-05-31,1498495.230907571
2023-06-01,1505944.8017347788
2023-06-02,1516256.4875592494
2023-06-05,1515630.6064106247
2023-06-06,1510832.7611500612
2023-06-07,1506167.1691453347
2023-06-08,1511601.0307876284
2023-06-09,1511632.929453108
2023-06-12,1515307.079691203
2023-06-13,1496578.2746505407
2023-06-14,1500984.361691873
2023-06-15,1493402.5202049406
2023-06-16,1509591.082097103
2023-06-19,1503267.6365624527
2023-06-20,1501579.7256805713
2023-06-21,1503267.4631902878
2023-06-26,1497159.3508865251
2023-06-27,1502662.599031288
2023-06-28,1503955.050203042
2023-06-29,1507628.5821934587
2023-06-30,1506772.6565888706
2023-07-03,1548353.642408694
2023-07-04,1572351.3179663992
2023-07-05,1568692.994173415
2023-07-06,1563687.0054318302
2023-07-07,1571506.6452565654
2023-07-10,1575254.3790958668
2023-07-11,1566620.205523077
2023-07-12,1580983.53523997
2023-07-13,1607778.5984565953
2023-07-14,1629707.7139266026
2023-07-17,1620057.017975226
2023-07-18,1613791.3885773427
2023-07-19,1625873.7095263496
2023-07-20,1620294.577548336
2023-07-21,1604769.3445468578
2023-07-24,1600786.8365926344
2023-07-25,1615219.0453640516
2023-07-26,1610694.8210770404
2023-07-27,1605602.4498404446
2023-07-28,1597212.6802972418
2023-07-31,1602600.205095636
2023-08-01,1607375.2242332578
2023-08-02,1606749.7690746689
2023-08-03,1594155.5800036078
2023-08-04,1599605.4671245257
2023-08-07,1583513.5964989546
2023-08-08,1578996.8588674671
2023-08-09,1574494.5377591604
2023-08-10,1609654.8449451546
2023-08-11,1599703.1242942328
2023-08-14,1590990.760653169
2023-08-15,1591376.91718227
2023-08-16,1587444.2876681578
2023-08-17,1584524.043495953
2023-08-18,1589907.9410065138
2023-08-21,1587645.0953942935
2023-08-22,1589803.1044151783
2023-08-23,1589376.486393812
2023-08-24,1587021.4618481488
2023-08-25,1586878.5778263945
2023-08-28,1611102.049304896
2023-08-29,1592179.6961749804
2023-08-30,1591143.457760479
2023-08-31,1590214.9060439968
2023-09-01,1592691.4288425539
2023-09-04,1672495.5534196375
2023-09-05,1678481.2563206223
2023-09-06,1731378.5917352801
2023-09-07,1732078.3863227358
2023-09-08,1676662.4685727018
2023-09-11,1696836.1034268562
2023-09-12,1695502.3367922876
2023-09-13,1721206.8439237315
2023-09-14,1753005.8794262828
2023-09-15,1820119.6808517103
2023-09-18,1783174.5751982804
2023-09-19,1794122.3085753303
2023-09-20,1781680.1995529803
2023-09-21,1774195.7406087653
2023-09-22,1767172.8028074193
2023-09-25,1764522.0436032084
2023-09-26,1764522.0436032084
2023-09-27,1764522.0436032084
2023-09-28,1764522.0436032084
2023-10-09,1753472.740417318
2023-10-10,1754892.3020289233
2023-10-11,1737453.1883745447
2023-10-12,1727965.6948917394
2023-10-13,1730448.4467478017
2023-10-16,1770409.8613154523
2023-10-17,1800328.274456775
2023-10-18,1794050.7987082563
2023-10-19,1776654.8195283345
2023-10-20,1756098.6915044186
2023-10-23,1712390.243123802
2023-10-24,1703116.5121323592
2023-10-25,1686429.074418934
2023-10-26,1656092.9066685527
