code,jq_code,industry,sw_code,name,pe_ttm,pb,market_cap,turnover_ratio,roe,revenue_growth,gross_margin,net_margin,eps,cashflow_quality,risk_flag,risk_details,pe_inverse,gross_margin_change,roe_rank,revenue_growth_rank,cashflow_quality_rank,pe_inverse_rank,gross_margin_change_rank,fundamental_score,industry_trend_score,company_quality_score,research_score_raw,research_score,vc_heat,report_sentiment,intel_score_raw,intelligence_score,supply_chain_adj,composite_score,composite_rank
000601,000601.XSHE,power,801161,韶能股份,111.5276,1.3959,58.4578,1.7356,1.85,10.9,18.74,5.97,0.0709,5.351996431399408,False,,0.00896639038229102,18.74,0.4752475247524752,0.7821782178217822,0.7326732673267327,0.09090909090909091,0.3465346534653465,0.5487548754875488,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5826772677267728,50.0
000690,000690.XSHE,power,801161,宝新能源,11.3652,0.8459,106.1833,1.8171,2.1,0.19,19.18,10.95,0.1206,0.6259803264246144,False,,0.08798789286594165,19.18,0.5445544554455446,0.5742574257425742,0.15841584158415842,0.8636363636363636,0.3564356435643564,0.5052505250525053,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5500490049004902,59.0
000692,000692.XSHE,power,801161,惠天热电,-10.7284,-15.97,20.6206,2.1817,404.89,-29.19,-1251.81,-1775.73,-0.3242,-0.8662503740061538,False,,,-1251.81,1.0,0.06930693069306931,0.10891089108910891,,0.019801980198019802,0.4415841584158416,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5022992299229924,72.0
000722,000722.XSHE,power,801161,湖南发展,91.4892,2.0471,64.4252,5.8272,0.74,59.82,37.01,17.76,0.0497,4.610142649265477,False,,0.010930251876724247,37.01,0.25742574257425743,0.9504950495049505,0.693069306930693,0.13636363636363635,0.7524752475247525,0.5462346234623462,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5807870787078708,52.0
000767,000767.XSHE,power,801161,晋控电力,14.6414,1.5256,95.6929,2.0131,1.54,-0.02,14.13,3.95,0.055999999999999994,4.449674513743674,False,,0.06829947955796577,14.13,0.40594059405940597,0.5544554455445545,0.6732673267326733,0.7954545454545454,0.19801980198019803,0.5370837083708372,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5739238923892391,55.0
000791,000791.XSHE,power,801161,甘肃能源,12.7261,1.6052,234.2052,1.0278,5.33,202.58,50.38,40.31,0.2334,1.9026409267831563,False,,0.07857866903450389,50.38,0.9207920792079208,0.9900990099009901,0.3465346534653465,0.8409090909090909,0.8613861386138614,0.80981098109811,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.7784693469346937,1.0
000862,000862.XSHE,power,801161,银星能源,43.0048,1.2838,57.5558,3.0488,1.62,5.54,37.02,22.8,0.0785,11.548777988271269,False,,0.023253218245405164,37.02,0.43564356435643564,0.693069306930693,0.9108910891089109,0.2727272727272727,0.7623762376237624,0.5993999399939994,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.6206610661066108,29.0
000875,000875.XSHE,power,801161,电投绿能,47.5528,1.2754,222.7144,2.6775,0.33,-3.99,20.58,7.17,0.0157,12.19818582487721,False,,0.021029255900809205,20.58,0.18811881188118812,0.46534653465346537,0.9207920792079208,0.22727272727272727,0.37623762376237624,0.4263426342634264,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.490868086808681,75.0
000883,000883.XSHE,power,801161,湖北能源,18.6075,0.9033,314.3503,0.3585,4.01,-9.99,30.04,28.79,0.2129,1.6538007613395984,False,,0.05374177079134757,30.04,0.8316831683168316,0.31683168316831684,0.2871287128712871,0.6818181818181818,0.6138613861386139,0.550975097509751,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.5843424342434245,47.0
000899,000899.XSHE,power,801161,赣能股份,11.0695,1.6595,104.6902,1.9908,7.1,5.44,28.49,20.72,0.4433,2.0501365600531605,False,,0.09033831699715435,28.49,0.9702970297029703,0.6831683168316832,0.4158415841584158,0.875,0.5643564356435643,0.7430693069306931,0.8,0.5,0.6200000000000001,0.6666666666666671,0.7,0.68,0.6925,0.8888888888888888,1.0,0.728413091309131,5.0
